country,country_code,country_group,indicator,indicator_code,TIME_PERIOD,OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,FREQ,UNIT_MEASURE,UNIT_TYPE
Philippines,PHL,Philippines,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,2000,35.709999,P1Y,0,,A,PU,_Z,2,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",WB_WDI,False,WB_WDI,WB_WDI_SE_SEC_CUAT_UP_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,A,PT,
Philippines,PHL,Philippines,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,2003,48.948053,P1Y,0,,A,PU,_Z,2,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",WB_WDI,False,WB_WDI,WB_WDI_SE_SEC_CUAT_UP_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,A,PT,
Philippines,PHL,Philippines,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,2004,51.099998,P1Y,0,,A,PU,_Z,2,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",WB_WDI,False,WB_WDI,WB_WDI_SE_SEC_CUAT_UP_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,A,PT,
Philippines,PHL,Philippines,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,2010,55.970001,P1Y,0,,A,PU,_Z,2,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",WB_WDI,False,WB_WDI,WB_WDI_SE_SEC_CUAT_UP_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,A,PT,
Philippines,PHL,Philippines,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,2013,58.459999,P1Y,0,,A,PU,_Z,2,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",WB_WDI,False,WB_WDI,WB_WDI_SE_SEC_CUAT_UP_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,A,PT,
Philippines,PHL,Philippines,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,2017,57.884892,P1Y,0,,A,PU,_Z,2,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",WB_WDI,False,WB_WDI,WB_WDI_SE_SEC_CUAT_UP_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,A,PT,
Philippines,PHL,Philippines,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,2021,32.431085,P1Y,0,,A,PU,_Z,2,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",WB_WDI,False,WB_WDI,WB_WDI_SE_SEC_CUAT_UP_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,A,PT,
Philippines,PHL,Philippines,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,2022,34.4608,P1Y,0,,A,PU,_Z,2,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",WB_WDI,True,WB_WDI,WB_WDI_SE_SEC_CUAT_UP_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,A,PT,
Philippines,PHL,Philippines,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2000,1.98225,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Philippines,PHL,Philippines,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2001,2.52401,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Philippines,PHL,Philippines,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2002,4.33228,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Philippines,PHL,Philippines,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2003,4.85767,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Philippines,PHL,Philippines,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2004,5.24363,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Philippines,PHL,Philippines,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2005,5.39764,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Philippines,PHL,Philippines,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2006,5.74059,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Philippines,PHL,Philippines,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2007,5.97,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
