OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
266293020,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2010,A,PS,
551234509,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2017,A,PS,
229062099,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2009,A,PS,
659629070,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2019,A,PS,
250754113,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2022,A,PS,
72660653,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2001,A,PS,
292160158,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2011,A,PS,
436183969,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2015,A,PS,
440301216,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2021,A,PS,
136721623,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2005,A,PS,
619215886,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,True,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2023,A,PS,
487960477,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2016,A,PS,
352795296,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2013,A,PS,
61891807,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2000,A,PS,
86040642,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2003,A,PS,
390878784,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2014,A,PS,
318475924,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2012,A,PS,
611439830,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2018,A,PS,
119789024,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2004,A,PS,
183613132,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2007,A,PS,
191001220,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2008,A,PS,
158013351,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2006,A,PS,
417255845,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2020,A,PS,
83671798,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,CHN,_T,_T,_T,_Z,_Z,_Z,2002,A,PS,
