OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
4629.245517,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2010,A,USD,
8979.676527,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2017,A,USD,
3898.244592,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2009,A,USD,
10342.900952,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2019,A,USD,
12970.605641,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2022,A,USD,
1065.405976,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2001,A,USD,
5703.76028,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2011,A,USD,
8175.332851,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2015,A,USD,
12887.435724,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2021,A,USD,
1777.644968,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2005,A,USD,
12951.17824,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2023,A,USD,
8254.868593,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2016,A,USD,
7147.035186,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2013,A,USD,
969.199514,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2000,A,USD,
1306.972454,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2003,A,USD,
13303.148154,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,True,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2024,A,USD,
7781.065975,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2014,A,USD,
6405.057424,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2012,A,USD,
10085.663815,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2018,A,USD,
1530.927262,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2004,A,USD,
2734.727099,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2007,A,USD,
3523.443021,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2008,A,USD,
2129.25697,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2006,A,USD,
10627.463799,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2020,A,USD,
1163.559577,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2002,A,USD,
