OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
34.3,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,CHN,_T,_T,_T,_Z,_Z,_Z,2010,A,PT_POP,
54.3,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,CHN,_T,_T,_T,_Z,_Z,_Z,2017,A,PT_POP,
28.9,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,CHN,_T,_T,_T,_Z,_Z,_Z,2009,A,PT_POP,
64.0809,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,CHN,_T,_T,_T,_Z,_Z,_Z,2019,A,PT_POP,
75.6113,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,CHN,_T,_T,_T,_Z,_Z,_Z,2022,A,PT_POP,
2.63965,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,CHN,_T,_T,_T,_Z,_Z,_Z,2001,A,PT_POP,
38.3,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,CHN,_T,_T,_T,_Z,_Z,_Z,2011,A,PT_POP,
50.3,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,CHN,_T,_T,_T,_Z,_Z,_Z,2015,A,PT_POP,
22.6,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,CHN,_T,_T,_T,_Z,_Z,_Z,2008,A,PT_POP,
73.0532,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,CHN,_T,_T,_T,_Z,_Z,_Z,2021,A,PT_POP,
