OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
75.668,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2010,A,YR,
77.235,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2017,A,YR,
75.317,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2009,A,YR,
77.94,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2019,A,YR,
78.202,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2022,A,YR,
72.675,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2001,A,YR,
75.889,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2011,A,YR,
76.975,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2015,A,YR,
74.833,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2008,A,YR,
78.117,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2021,A,YR,
74.085,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2005,A,YR,
77.953,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,True,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2023,A,YR,
77.214,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2016,A,YR,
76.452,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2013,A,YR,
72.288,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2000,A,YR,
73.385,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2003,A,YR,
76.714,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2014,A,YR,
76.2,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2012,A,YR,
77.709,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2018,A,YR,
73.727,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2004,A,YR,
74.789,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2007,A,YR,
74.404,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2006,A,YR,
78.019,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2020,A,YR,
73.034,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,CHN,_T,_T,_T,_Z,_Z,_Z,2002,A,YR,
