OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
1337705000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2010,A,PS,
1396215000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2017,A,PS,
1331260000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2009,A,PS,
1412175000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2022,A,PS,
1271850000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2001,A,PS,
1345035000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2011,A,PS,
1379860000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2015,A,PS,
1324655000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2008,A,PS,
1412360000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2021,A,PS,
1407745000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2019,A,PS,
1303720000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2005,A,PS,
1410710000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2023,A,PS,
1387790000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2016,A,PS,
1363240000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2013,A,PS,
1262645000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2000,A,PS,
1288400000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2003,A,PS,
1408975000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,True,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2024,A,PS,
1371860000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2014,A,PS,
1354190000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2012,A,PS,
1402760000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2018,A,PS,
1296075000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2004,A,PS,
1317885000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2007,A,PS,
1311020000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2006,A,PS,
1411100000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2020,A,PS,
1280400000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,CHN,_T,_T,_T,_Z,_Z,_Z,2002,A,PS,
