OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
40288794,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2006,A,PS,
49877935,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2008,A,PS,
17299483,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2000,A,PS,
68959633,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2020,A,PS,
73996912,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2011,A,PS,
75589071,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2013,A,PS,
54446373,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2009,A,PS,
164035637.545,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2018,A,PS,
72151828.889549,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2012,A,PS,
167499116,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2019,A,PS,
16862737,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2001,A,PS,
139996043.466,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2022,A,PS,
23934074,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2004,A,PS,
119577835,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2016,A,PS,
139752424,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2017,A,PS,
82718882.88,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2014,A,PS,
51897450,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2007,A,PS,
27879461,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2005,A,PS,
17633019,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2002,A,PS,
98927860,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2015,A,PS,
64374253.803896,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2010,A,PS,
83964797,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2021,A,PS,
19455085,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2003,A,PS,
180415784.228,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,True,WB_WDI,WB_WDI_IS_AIR_PSGR,IND,_T,_T,_T,_Z,_Z,_Z,2023,A,PS,
