OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
3.14285,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2006,A,PT_GDP,
4.32479,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2000,A,PT_GDP,
4.29335,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2020,A,PT_GDP,
3.79618,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2011,A,PT_GDP,
3.84467,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2013,A,PT_GDP,
3.27825,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2009,A,PT_GDP,
4.36374,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2018,A,PT_GDP,
3.8675,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2012,A,PT_GDP,
3.89732,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2019,A,PT_GDP,
4.098658,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,True,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2022,A,PT_GDP,
3.35254,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2004,A,PT_GDP,
4.25408,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2016,A,PT_GDP,
4.30545,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2017,A,PT_GDP,
3.89878,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2014,A,PT_GDP,
3.18875,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2005,A,PT_GDP,
4.11457,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2015,A,PT_GDP,
3.37769,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2010,A,PT_GDP,
4.6295,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2021,A,PT_GDP,
3.61341,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2003,A,PT_GDP,
