OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
801.668354,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2006,A,USD,
992.519585,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2008,A,USD,
442.750219,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2000,A,USD,
1907.042516,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2020,A,USD,
1445.461275,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2011,A,USD,
1432.843975,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2013,A,USD,
1094.949746,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2009,A,USD,
1966.254552,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2018,A,USD,
1429.321995,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2012,A,USD,
2041.428637,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2019,A,USD,
450.357901,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2001,A,USD,
2347.448294,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2022,A,USD,
624.258827,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2004,A,USD,
1707.508929,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2016,A,USD,
1950.104683,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2017,A,USD,
1553.883961,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2014,A,USD,
1021.887077,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2007,A,USD,
710.48808,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2005,A,USD,
469.149929,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2002,A,USD,
2694.737809,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,True,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2024,A,USD,
1583.998159,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2015,A,USD,
1347.519391,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2010,A,USD,
2239.613844,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2021,A,USD,
544.143134,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2003,A,USD,
2530.120313,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2023,A,USD,
