OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
2.8055,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2006,A,PT_POP,
4.38,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2008,A,PT_POP,
0.527532,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2000,A,PT_POP,
43.4054,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2020,A,PT_POP,
10.07,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2011,A,PT_POP,
12.3,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2013,A,PT_POP,
5.12,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2009,A,PT_POP,
20.0813,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2018,A,PT_POP,
11.1,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2012,A,PT_POP,
29.5235,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2019,A,PT_POP,
0.660146,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2001,A,PT_POP,
55.9,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,True,WB_WDI,WB_WDI_IT_NET_USER_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2022,A,PT_POP,
1.97614,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2004,A,PT_POP,
16.5,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2016,A,PT_POP,
18.2,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2017,A,PT_POP,
13.5,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2014,A,PT_POP,
3.95,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2007,A,PT_POP,
2.38807,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2005,A,PT_POP,
1.53788,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2002,A,PT_POP,
14.9,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2015,A,PT_POP,
7.5,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2010,A,PT_POP,
1.68649,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IND,_T,_T,_T,_Z,_Z,_Z,2003,A,PT_POP,
