OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
65.373,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,IND,_T,_T,_T,_Z,_Z,_Z,2006,A,YR,
66.247,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,IND,_T,_T,_T,_Z,_Z,_Z,2008,A,YR,
62.749,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,IND,_T,_T,_T,_Z,_Z,_Z,2000,A,YR,
70.156,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,IND,_T,_T,_T,_Z,_Z,_Z,2020,A,YR,
67.623,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,IND,_T,_T,_T,_Z,_Z,_Z,2011,A,YR,
68.499,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,IND,_T,_T,_T,_Z,_Z,_Z,2013,A,YR,
66.7,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,IND,_T,_T,_T,_Z,_Z,_Z,2009,A,YR,
70.415,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,IND,_T,_T,_T,_Z,_Z,_Z,2018,A,YR,
68.076,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,IND,_T,_T,_T,_Z,_Z,_Z,2012,A,YR,
70.746,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,IND,_T,_T,_T,_Z,_Z,_Z,2019,A,YR,
