OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
1172878890,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2006,A,PS,
1207930964,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2008,A,PS,
1057922733,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2000,A,PS,
1402617695,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2020,A,PS,
1261224954,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2011,A,PS,
1295829511,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2013,A,PS,
1225524753,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2009,A,PS,
1374659064,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2018,A,PS,
1278674502,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2012,A,PS,
1389030312,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2019,A,PS,
1077898575,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2001,A,PS,
1425423212,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2022,A,PS,
1135991513,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2004,A,PS,
1343944296,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2016,A,PS,
1359657400,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2017,A,PS,
1312277191,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2014,A,PS,
1190676021,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2007,A,PS,
1243481564,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2010,A,PS,
1154676322,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2005,A,PS,
1097600380,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2002,A,PS,
1450935791,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,True,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2024,A,PS,
1328024498,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2015,A,PS,
1414203896,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2021,A,PS,
1116803006,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2003,A,PS,
1438069596,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IND,_T,_T,_T,_Z,_Z,_Z,2023,A,PS,
