OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
29867483,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2006,A,PS,
29766093,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2008,A,PS,
9916365,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2000,A,PS,
37523686.817,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2020,A,PS,
70912258.109048,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2011,A,PS,
81721356,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2013,A,PS,
27421235,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2009,A,PS,
115154100.909,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2018,A,PS,
79405799.80957,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2012,A,PS,
91323153,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2019,A,PS,
12453812,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2001,A,PS,
58991326,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2022,A,PS,
26780550,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2004,A,PS,
99274010,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2016,A,PS,
108393123,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2017,A,PS,
85215879.509739,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2014,A,PS,
30405918,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2007,A,PS,
59384361.605798,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2010,A,PS,
26835524,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2005,A,PS,
12113452,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2002,A,PS,
90095131,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2015,A,PS,
33549828,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2021,A,PS,
12221066,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2003,A,PS,
97045784.754,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,True,WB_WDI,WB_WDI_IS_AIR_PSGR,IDN,_T,_T,_T,_Z,_Z,_Z,2023,A,PS,
