OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
2.9019,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2008,A,PT_GDP,
1.015932,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2020,A,PT_GDP,
3.18944,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2011,A,PT_GDP,
3.35904,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2013,A,PT_GDP,
3.52513,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2009,A,PT_GDP,
0.994436,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2018,A,PT_GDP,
3.40748,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2012,A,PT_GDP,
0.964399,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2019,A,PT_GDP,
2.46003,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2001,A,PT_GDP,
0.863943,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2022,A,PT_GDP,
2.74847,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2004,A,PT_GDP,
1.210235,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2016,A,PT_GDP,
1.053244,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2017,A,PT_GDP,
3.28801,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2014,A,PT_GDP,
