OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
1558.315628,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IDN,_T,_T,_T,_Z,_Z,_Z,2006,A,USD,
2124.554839,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IDN,_T,_T,_T,_Z,_Z,_Z,2008,A,USD,
763.711125,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IDN,_T,_T,_T,_Z,_Z,_Z,2000,A,USD,
3853.702888,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IDN,_T,_T,_T,_Z,_Z,_Z,2020,A,USD,
3579.464425,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IDN,_T,_T,_T,_Z,_Z,_Z,2011,A,USD,
3566.602845,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IDN,_T,_T,_T,_Z,_Z,_Z,2013,A,USD,
2218.485419,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IDN,_T,_T,_T,_Z,_Z,_Z,2009,A,USD,
3860.953531,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IDN,_T,_T,_T,_Z,_Z,_Z,2018,A,USD,
3632.27254,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IDN,_T,_T,_T,_Z,_Z,_Z,2012,A,USD,
4106.948562,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IDN,_T,_T,_T,_Z,_Z,_Z,2019,A,USD,
732.307093,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IDN,_T,_T,_T,_Z,_Z,_Z,2001,A,USD,
4730.834848,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IDN,_T,_T,_T,_Z,_Z,_Z,2022,A,USD,
1126.840044,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IDN,_T,_T,_T,_Z,_Z,_Z,2004,A,USD,
3521.469435,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IDN,_T,_T,_T,_Z,_Z,_Z,2016,A,USD,
3798.883262,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IDN,_T,_T,_T,_Z,_Z,_Z,2017,A,USD,
3441.068085,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IDN,_T,_T,_T,_Z,_Z,_Z,2014,A,USD,
1823.219763,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IDN,_T,_T,_T,_Z,_Z,_Z,2007,A,USD,
3065.683484,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IDN,_T,_T,_T,_Z,_Z,_Z,2010,A,USD,
1238.214476,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IDN,_T,_T,_T,_Z,_Z,_Z,2005,A,USD,
881.002914,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IDN,_T,_T,_T,_Z,_Z,_Z,2002,A,USD,
