OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
31.5,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2006,A,0_TO_100,
32.6,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2008,A,0_TO_100,
30.3,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2000,A,0_TO_100,
35.3,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2020,A,0_TO_100,
37.9,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2011,A,0_TO_100,
38.9,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2013,A,0_TO_100,
33.4,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2009,A,0_TO_100,
36.3,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2018,A,0_TO_100,
37.1,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2012,A,0_TO_100,
35.4,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2019,A,0_TO_100,
31.2,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2001,A,0_TO_100,
35.5,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2022,A,0_TO_100,
30.4,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2004,A,0_TO_100,
36.9,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2016,A,0_TO_100,
36.4,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2017,A,0_TO_100,
38.8,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2014,A,0_TO_100,
33.2,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2007,A,0_TO_100,
34.6,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2010,A,0_TO_100,
29.9,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2005,A,0_TO_100,
30.2,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2002,A,0_TO_100,
34.9,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,True,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2024,A,0_TO_100,
38.2,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2015,A,0_TO_100,
35.5,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2021,A,0_TO_100,
29.3,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2003,A,0_TO_100,
36.1,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,IDN,_T,_T,_T,_Z,_Z,_Z,2023,A,0_TO_100,
