OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
0.6,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2006,A,10P3PS,
0.63,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2008,A,10P3PS,
0.59,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2000,A,10P3PS,
1.4,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2020,A,10P3PS,
0.69,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2011,A,10P3PS,
1.1,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2013,A,10P3PS,
0.68,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2009,A,10P3PS,
1.16,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2018,A,10P3PS,
0.92,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2012,A,10P3PS,
1.18,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2019,A,10P3PS,
0.59,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2001,A,10P3PS,
0.59,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2004,A,10P3PS,
1.1,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2016,A,10P3PS,
1.15,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2017,A,10P3PS,
1.05,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2014,A,10P3PS,
0.61,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2007,A,10P3PS,
0.65,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2010,A,10P3PS,
0.6,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2005,A,10P3PS,
0.59,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2002,A,10P3PS,
1.09,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2015,A,10P3PS,
1.36,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,True,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2021,A,10P3PS,
0.59,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2003,A,10P3PS,
