OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
4.76481,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2006,A,PT_POP,
7.91748,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2008,A,PT_POP,
0.925564,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2000,A,PT_POP,
53.7265,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2020,A,PT_POP,
12.28,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2011,A,PT_POP,
14.94,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2013,A,PT_POP,
6.92,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2009,A,PT_POP,
39.9046,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2018,A,PT_POP,
14.52,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2012,A,PT_POP,
47.6906,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2019,A,PT_POP,
2.01861,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2001,A,PT_POP,
66.4846,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2022,A,PT_POP,
2.60029,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2004,A,PT_POP,
25.4474,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2016,A,PT_POP,
32.3358,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2017,A,PT_POP,
17.1432,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2014,A,PT_POP,
5.78627,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2007,A,PT_POP,
10.92,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2010,A,PT_POP,
3.60202,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2005,A,PT_POP,
2.13414,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2002,A,PT_POP,
72.7808,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,True,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2024,A,PT_POP,
22.0627,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2015,A,PT_POP,
62.1045,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2021,A,PT_POP,
2.38702,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2003,A,PT_POP,
69.2084,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,IDN,_T,_T,_T,_Z,_Z,_Z,2023,A,PT_POP,
