OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
233951652,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2006,A,PS,
240157903,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2008,A,PS,
216077790,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2000,A,PS,
274814866,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2020,A,PS,
249470032,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2011,A,PS,
255852467,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2013,A,PS,
243220028,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2009,A,PS,
269951846,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2018,A,PS,
252698525,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2012,A,PS,
272489381,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2019,A,PS,
219097902,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2001,A,PS,
278830529,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2022,A,PS,
227926649,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2004,A,PS,
264627418,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2016,A,PS,
267346658,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2017,A,PS,
258877399,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2014,A,PS,
237062337,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2007,A,PS,
246305322,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2010,A,PS,
230871650,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2005,A,PS,
222088495,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2002,A,PS,
283487931,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,True,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2024,A,PS,
261799249,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2015,A,PS,
276758053,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2021,A,PS,
225048008,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2003,A,PS,
281190067,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,IDN,_T,_T,_T,_Z,_Z,_Z,2023,A,PS,
