OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
102845319,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2006,A,PS,
86896527,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2009,A,PS,
97022471,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2008,A,PS,
126387527,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2018,A,PS,
107573000,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2013,A,PS,
123898000,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2017,A,PS,
98907859,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2012,A,PS,
130233352,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2019,A,PS,
109037841,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2002,A,PS,
86456115,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2022,A,PS,
107823469,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2001,A,PS,
101740600,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2004,A,PS,
109123312,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2000,A,PS,
120305972,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,True,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2023,A,PS,
110547000,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2014,A,PS,
89788818,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2011,A,PS,
117708000,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2016,A,PS,
109617020.965748,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2010,A,PS,
102279015,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2005,A,PS,
51131122,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2020,A,PS,
99842338,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2007,A,PS,
114128000,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2015,A,PS,
45410146,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2021,A,PS,
103988547,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,JPN,_T,_T,_T,_Z,_Z,_Z,2003,A,PS,
