OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
35991.546003,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,JPN,_T,_T,_T,_Z,_Z,_Z,2006,A,USD,
41308.996837,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,JPN,_T,_T,_T,_Z,_Z,_Z,2009,A,USD,
39876.303969,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,JPN,_T,_T,_T,_Z,_Z,_Z,2008,A,USD,
32487.077805,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,True,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,JPN,_T,_T,_T,_Z,_Z,_Z,2024,A,USD,
39751.133098,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,JPN,_T,_T,_T,_Z,_Z,_Z,2018,A,USD,
40898.647896,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,JPN,_T,_T,_T,_Z,_Z,_Z,2013,A,USD,
38834.052934,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,JPN,_T,_T,_T,_Z,_Z,_Z,2017,A,USD,
49145.280431,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,JPN,_T,_T,_T,_Z,_Z,_Z,2012,A,USD,
40415.956765,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,JPN,_T,_T,_T,_Z,_Z,_Z,2019,A,USD,
32820.793643,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,JPN,_T,_T,_T,_Z,_Z,_Z,2002,A,USD,
34065.643896,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,JPN,_T,_T,_T,_Z,_Z,_Z,2022,A,USD,
34406.182464,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,JPN,_T,_T,_T,_Z,_Z,_Z,2001,A,USD,
38298.980171,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,JPN,_T,_T,_T,_Z,_Z,_Z,2004,A,USD,
39169.35957,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,JPN,_T,_T,_T,_Z,_Z,_Z,2000,A,USD,
33836.175627,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,JPN,_T,_T,_T,_Z,_Z,_Z,2023,A,USD,
38475.395246,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,JPN,_T,_T,_T,_Z,_Z,_Z,2014,A,USD,
48760.078949,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,JPN,_T,_T,_T,_Z,_Z,_Z,2011,A,USD,
