OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
33,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,JPN,_T,_T,_T,_Z,_Z,_Z,2009,A,0_TO_100,
34.6,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,JPN,_T,_T,_T,_Z,_Z,_Z,2008,A,0_TO_100,
32.9,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,JPN,_T,_T,_T,_Z,_Z,_Z,2018,A,0_TO_100,
31.5,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,JPN,_T,_T,_T,_Z,_Z,_Z,2013,A,0_TO_100,
31.8,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,JPN,_T,_T,_T,_Z,_Z,_Z,2017,A,0_TO_100,
32.5,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,JPN,_T,_T,_T,_Z,_Z,_Z,2012,A,0_TO_100,
33,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,JPN,_T,_T,_T,_Z,_Z,_Z,2019,A,0_TO_100,
31.3,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,JPN,_T,_T,_T,_Z,_Z,_Z,2014,A,0_TO_100,
33,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,JPN,_T,_T,_T,_Z,_Z,_Z,2011,A,0_TO_100,
31.8,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,JPN,_T,_T,_T,_Z,_Z,_Z,2016,A,0_TO_100,
31.5,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,JPN,_T,_T,_T,_Z,_Z,_Z,2010,A,0_TO_100,
32.3,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,True,WB_WDI,WB_WDI_SI_POV_GINI,JPN,_T,_T,_T,_Z,_Z,_Z,2020,A,0_TO_100,
30.7,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,JPN,_T,_T,_T,_Z,_Z,_Z,2015,A,0_TO_100,
