OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
68.6853,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2006,A,PT_POP,
78,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2009,A,PT_POP,
75.4,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2008,A,PT_POP,
88.7464,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2018,A,PT_POP,
88.2194,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2013,A,PT_POP,
91.7265,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2017,A,PT_POP,
79.4964,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2012,A,PT_POP,
92.7304,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2019,A,PT_POP,
46.5942,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2002,A,PT_POP,
84.9234,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2022,A,PT_POP,
38.5321,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2001,A,PT_POP,
62.3939,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2004,A,PT_POP,
29.9907,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2000,A,PT_POP,
86.9815,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,True,WB_WDI,WB_WDI_IT_NET_USER_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2023,A,PT_POP,
89.1068,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2014,A,PT_POP,
79.0541,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2011,A,PT_POP,
