OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
82.321951,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2006,A,YR,
82.931463,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2009,A,YR,
82.587561,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2008,A,YR,
84.210976,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2018,A,YR,
83.331951,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2013,A,YR,
84.099756,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2017,A,YR,
83.096098,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2012,A,YR,
84.356341,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2019,A,YR,
81.690732,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2002,A,YR,
83.996341,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2022,A,YR,
81.416341,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2001,A,YR,
82.030244,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2004,A,YR,
81.076098,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2000,A,YR,
84.04122,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,True,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2023,A,YR,
83.587805,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2014,A,YR,
82.59122,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2011,A,YR,
83.984878,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2016,A,YR,
82.842683,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2010,A,YR,
81.955122,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2005,A,YR,
84.56,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2020,A,YR,
82.507073,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2007,A,YR,
83.793902,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2015,A,YR,
84.44561,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2021,A,YR,
81.76,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,JPN,_T,_T,_T,_Z,_Z,_Z,2003,A,YR,
