OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
127854000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2006,A,PS,
128047000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2009,A,PS,
128063000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2008,A,PS,
123975371,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,True,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2024,A,PS,
126811000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2018,A,PS,
127445000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2013,A,PS,
126972000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2017,A,PS,
127629000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2012,A,PS,
126633000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2019,A,PS,
127445000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2002,A,PS,
125124989,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2022,A,PS,
127149000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2001,A,PS,
126843000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2000,A,PS,
124516650,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2023,A,PS,
127276000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2014,A,PS,
127833000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2011,A,PS,
127076000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2016,A,PS,
128070000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2010,A,PS,
127773000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2005,A,PS,
127718000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2003,A,PS,
126261000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2020,A,PS,
128001000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2007,A,PS,
127141000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2015,A,PS,
125681593,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2021,A,PS,
127761000,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,JPN,_T,_T,_T,_Z,_Z,_Z,2004,A,PS,
