OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
23766316,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2009,A,PS,
58711937,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2017,A,PS,
38218608.852353,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2011,A,PS,
39165195.217678,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2012,A,PS,
17833364,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2006,A,PS,
16281275,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2002,A,PS,
46698381,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,True,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2023,A,PS,
34239014.172521,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2010,A,PS,
53817353,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2016,A,PS,
50345820,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2015,A,PS,
15893988,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2020,A,PS,
4965360.963,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2021,A,PS,
22420870,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2008,A,PS,
16107156,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2001,A,PS,
16560793,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2000,A,PS,
47995842.00418,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2013,A,PS,
60481772,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2018,A,PS,
63623130,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2019,A,PS,
21325754,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2007,A,PS,
49673884,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2014,A,PS,
19226564,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2004,A,PS,
28006856.4,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2022,A,PS,
16704600,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2003,A,PS,
20369086,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,MYS,_T,_T,_T,_Z,_Z,_Z,2005,A,PS,
