OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
5.97418,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2009,A,PT_GDP,
4.67531,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2017,A,PT_GDP,
5.76294,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2011,A,PT_GDP,
5.73903,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2012,A,PT_GDP,
4.48576,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2006,A,PT_GDP,
7.65793,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2002,A,PT_GDP,
3.5148,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,True,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2023,A,PT_GDP,
4.96645,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2010,A,PT_GDP,
4.75192,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2016,A,PT_GDP,
4.89487,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2015,A,PT_GDP,
3.91176,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2020,A,PT_GDP,
4.261094,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2021,A,PT_GDP,
3.95852,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2008,A,PT_GDP,
7.48447,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2001,A,PT_GDP,
5.97161,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2000,A,PT_GDP,
5.4812,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2013,A,PT_GDP,
4.47865,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2018,A,PT_GDP,
4.15776,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2019,A,PT_GDP,
4.37254,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2007,A,PT_GDP,
5.21264,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2014,A,PT_GDP,
5.92389,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2004,A,PT_GDP,
3.499338,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2022,A,PT_GDP,
7.50288,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2003,A,PT_GDP,
