OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
55.9,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2009,A,PT_POP,
80.1405,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2017,A,PT_POP,
61,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2011,A,PT_POP,
65.8,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2012,A,PT_POP,
51.638,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2006,A,PT_POP,
32.3382,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2002,A,PT_POP,
97.6927,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2023,A,PT_POP,
98.0206,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,True,WB_WDI,WB_WDI_IT_NET_USER_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2024,A,PT_POP,
56.3,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2010,A,PT_POP,
78.7883,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,MYS,_T,_T,_T,_Z,_Z,_Z,2016,A,PT_POP,
