OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
28124778,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2009,A,PS,
32355644,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2017,A,PS,
29162039,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2011,A,PS,
29662831,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2012,A,PS,
26417909,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2006,A,PS,
24102477,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2002,A,PS,
35126298,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2023,A,PS,
35557673,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,True,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2024,A,PS,
28655776,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2010,A,PS,
31789685,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2016,A,PS,
31232798,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2015,A,PS,
33889558,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2020,A,PS,
34282399,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2021,A,PS,
27570059,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2008,A,PS,
23526538,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2001,A,PS,
22967816,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2000,A,PS,
30174265,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2013,A,PS,
32910967,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2018,A,PS,
33440596,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2019,A,PS,
26998389,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2007,A,PS,
30696137,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2014,A,PS,
25256772,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2004,A,PS,
34695493,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2022,A,PS,
24679602,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2003,A,PS,
25836071,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,MYS,_T,_T,_T,_Z,_Z,_Z,2005,A,PS,
