OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
34897404,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2014,A,PS,
43080118,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2018,A,PS,
8304634,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2006,A,PS,
8818150,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2007,A,PS,
41501834,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,True,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2023,A,PS,
37023422,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2015,A,PS,
40206684,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2016,A,PS,
9508389,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2008,A,PS,
47776892,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2019,A,PS,
10613531,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2020,A,PS,
6457529,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2003,A,PS,
7387965,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2004,A,PS,
22575356,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2010,A,PS,
25540880,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2013,A,PS,
39341995,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2017,A,PS,
28540727.36081,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2012,A,PS,
8056829,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2005,A,PS,
26326620.762832,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2011,A,PS,
10480898,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2009,A,PS,
27737718,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2022,A,PS,
5756288,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2000,A,PS,
6886922,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2021,A,PS,
6416383,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2001,A,PS,
6449022,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,PHL,_T,_T,_T,_Z,_Z,_Z,2002,A,PS,
