OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
2.664542,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2014,A,PT_GDP,
3.855028,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2018,A,PT_GDP,
2.42579,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2006,A,PT_GDP,
2.48518,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2007,A,PT_GDP,
3.623686,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2023,A,PT_GDP,
3.925011,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,True,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2024,A,PT_GDP,
2.830523,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2015,A,PT_GDP,
3.301281,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2016,A,PT_GDP,
2.58283,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2008,A,PT_GDP,
3.407486,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2019,A,PT_GDP,
