OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
2866.838038,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2014,A,USD,
3168.510366,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2018,A,USD,
1426.146492,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2006,A,USD,
1712.655433,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2007,A,USD,
3804.082741,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2023,A,USD,
3984.831539,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,True,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2024,A,USD,
2909.85818,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2015,A,USD,
2985.19564,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2016,A,USD,
1959.292335,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2008,A,USD,
3400.789498,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2019,A,USD,
3227.579102,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2020,A,USD,
1027.230119,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2003,A,USD,
1099.63013,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2004,A,USD,
2162.913759,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2010,A,USD,
2781.279577,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2013,A,USD,
3038.12125,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2017,A,USD,
2614.616444,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2012,A,USD,
1220.460186,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2005,A,USD,
2383.918925,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2011,A,USD,
1864.450434,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2009,A,USD,
3548.069306,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2022,A,USD,
1050.792731,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2000,A,USD,
3484.385939,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2021,A,USD,
969.530612,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2001,A,USD,
1014.908793,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,PHL,_T,_T,_T,_Z,_Z,_Z,2002,A,USD,
