OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
34.7,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2014,A,PT_POP,
44.1,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2018,A,PT_POP,
5.74059,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2006,A,PT_POP,
5.97,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2007,A,PT_POP,
83.7661,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,True,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2023,A,PT_POP,
36.9,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2015,A,PT_POP,
39.2,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2016,A,PT_POP,
6.22,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2008,A,PT_POP,
43.0266,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2019,A,PT_POP,
53.7649,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2020,A,PT_POP,
4.85767,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2003,A,PT_POP,
5.24363,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2004,A,PT_POP,
25,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2010,A,PT_POP,
32.7,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2013,A,PT_POP,
41.6,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2017,A,PT_POP,
30.8,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2012,A,PT_POP,
5.39764,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2005,A,PT_POP,
29,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,PHL,_T,_T,_T,_Z,_Z,_Z,2011,A,PT_POP,
