OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
69.311,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2014,A,YR,
69.761,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2018,A,YR,
68.172,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2006,A,YR,
68.549,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2007,A,YR,
69.833,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,True,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2023,A,YR,
69.45,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2015,A,YR,
69.49,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2016,A,YR,
68.643,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2008,A,YR,
69.68,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2019,A,YR,
70.097,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2020,A,YR,
68.049,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2003,A,YR,
68.301,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2004,A,YR,
68.883,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2010,A,YR,
69.283,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2013,A,YR,
69.966,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2017,A,YR,
69.237,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2012,A,YR,
68.423,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2005,A,YR,
67.789,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2000,A,YR,
69.096,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2011,A,YR,
68.631,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2009,A,YR,
69.472,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2022,A,YR,
66.675,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2021,A,YR,
67.829,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2001,A,YR,
67.886,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,PHL,_T,_T,_T,_Z,_Z,_Z,2002,A,YR,
