OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
103767130,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2014,A,PS,
109465287,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2018,A,PS,
89508986,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2006,A,PS,
91075184,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2007,A,PS,
114891199,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2023,A,PS,
115843670,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,True,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2024,A,PS,
105312992,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2015,A,PS,
106735719,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2016,A,PS,
92699095,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2008,A,PS,
110804683,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2019,A,PS,
100175512,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2012,A,PS,
112081264,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2020,A,PS,
84731835,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2003,A,PS,
86394504,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2004,A,PS,
96337125,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2010,A,PS,
102076336,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2013,A,PS,
108119693,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2017,A,PS,
88015962,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2005,A,PS,
79625397,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2000,A,PS,
113964338,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2022,A,PS,
98248614,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2011,A,PS,
94384250,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2009,A,PS,
113100950,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2021,A,PS,
81401488,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2001,A,PS,
83068889,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,PHL,_T,_T,_T,_Z,_Z,_Z,2002,A,PS,
