OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
33643518.416782,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2014,A,PS,
43050722,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2019,A,PS,
18427473,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2009,A,PS,
33585397,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2015,A,PS,
24859825.157784,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2010,A,PS,
47502833.593,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,True,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2023,A,PS,
16373648,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2001,A,PS,
38094990,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2017,A,PS,
2311712,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2021,A,PS,
19565884,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2006,A,PS,
22200217,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2022,A,PS,
26509929.142491,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2011,A,PS,
40401515,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2018,A,PS,
35370328,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2016,A,PS,
29138458.273748,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2012,A,PS,
21050204,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2008,A,PS,
7884373,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2020,A,PS,
16995621,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2004,A,PS,
31729241,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2013,A,PS,
20671341,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2007,A,PS,
17744017,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2005,A,PS,
14172367,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2003,A,PS,
16704341,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2000,A,PS,
17256872,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,SGP,_T,_T,_T,_Z,_Z,_Z,2002,A,PS,
