OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
79.0292,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,2014,A,PT_POP,
88.9493,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,2019,A,PT_POP,
69,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,2009,A,PT_POP,
79.013,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,2015,A,PT_POP,
71,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,2010,A,PT_POP,
94.2852,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,2023,A,PT_POP,
41.6704,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,2001,A,PT_POP,
94.3776,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,True,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,2024,A,PT_POP,
96.9247,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,2021,A,PT_POP,
59,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,2006,A,PT_POP,
95.9539,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,2022,A,PT_POP,
71,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,2011,A,PT_POP,
