OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
82.495122,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,SGP,_T,_T,_T,_Z,_Z,_Z,2014,A,YR,
83.595122,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,SGP,_T,_T,_T,_Z,_Z,_Z,2019,A,YR,
81.241463,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,SGP,_T,_T,_T,_Z,_Z,_Z,2009,A,YR,
82.743902,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,SGP,_T,_T,_T,_Z,_Z,_Z,2015,A,YR,
81.541463,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,SGP,_T,_T,_T,_Z,_Z,_Z,2010,A,YR,
82.895122,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,True,WB_WDI,WB_WDI_SP_DYN_LE00_IN,SGP,_T,_T,_T,_Z,_Z,_Z,2023,A,YR,
78.25122,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,SGP,_T,_T,_T,_Z,_Z,_Z,2001,A,YR,
83.092683,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,SGP,_T,_T,_T,_Z,_Z,_Z,2021,A,YR,
80.141463,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,SGP,_T,_T,_T,_Z,_Z,_Z,2006,A,YR,
82.895122,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,SGP,_T,_T,_T,_Z,_Z,_Z,2022,A,YR,
81.743902,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,SGP,_T,_T,_T,_Z,_Z,_Z,2011,A,YR,
83.297561,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,SGP,_T,_T,_T,_Z,_Z,_Z,2018,A,YR,
82.846341,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,SGP,_T,_T,_T,_Z,_Z,_Z,2016,A,YR,
