OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
5469724,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2014,A,PS,
5703569,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2019,A,PS,
4987573,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2009,A,PS,
5076732,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2010,A,PS,
5917648,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2023,A,PS,
4138012,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2001,A,PS,
6036860,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,True,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2024,A,PS,
4401365,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2006,A,PS,
5637022,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2022,A,PS,
5183688,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2011,A,PS,
5638676,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2018,A,PS,
5607283,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2016,A,PS,
5312437,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2012,A,PS,
4839396,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2008,A,PS,
5685807,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2020,A,PS,
5612253,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2017,A,PS,
4166664,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2004,A,PS,
5399162,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2013,A,PS,
4588599,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2007,A,PS,
4265762,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2005,A,PS,
5535002,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2015,A,PS,
4114826,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2003,A,PS,
5453566,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2021,A,PS,
4027887,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2000,A,PS,
4175950,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,SGP,_T,_T,_T,_Z,_Z,_Z,2002,A,PS,
