OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
70704889,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2017,A,PS,
76053042.754,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2018,A,PS,
12734583,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2021,A,PS,
17662418,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2001,A,PS,
17392091,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2000,A,PS,
16622502,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2003,A,PS,
62341676,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2016,A,PS,
31940491.983851,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2011,A,PS,
20102408,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2006,A,PS,
43029150.6,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2013,A,PS,
20342582,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2004,A,PS,
21191723,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2007,A,PS,
51920692,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,True,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2023,A,PS,
28780723,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2010,A,PS,
36392469.354526,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2012,A,PS,
19993134,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2008,A,PS,
56447637,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2015,A,PS,
18111892,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2002,A,PS,
46546612.484507,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2014,A,PS,
76344410,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2019,A,PS,
19618735,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2009,A,PS,
18902629,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2005,A,PS,
28179302.666,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2020,A,PS,
34390036,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,THA,_T,_T,_T,_Z,_Z,_Z,2022,A,PS,
