OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
3.465321,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2017,A,PT_GDP,
3.197694,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2018,A,PT_GDP,
2.982124,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2021,A,PT_GDP,
4.81787,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2001,A,PT_GDP,
5.25346,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2000,A,PT_GDP,
3.72561,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2003,A,PT_GDP,
3.767618,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2016,A,PT_GDP,
4.80555,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2011,A,PT_GDP,
4.05038,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2006,A,PT_GDP,
4.12402,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2013,A,PT_GDP,
4.03089,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2004,A,PT_GDP,
2.521222,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,True,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2023,A,PT_GDP,
3.50844,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2010,A,PT_GDP,
4.53671,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2012,A,PT_GDP,
