OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
6413.091825,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2017,A,USD,
7099.776501,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2018,A,USD,
7057.207548,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2021,A,USD,
1889.934325,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2001,A,USD,
2005.976945,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2000,A,USD,
2347.540013,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2003,A,USD,
5833.577156,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2016,A,USD,
5373.623283,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2011,A,USD,
3331.320435,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2006,A,USD,
6018.082447,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2013,A,USD,
2641.562687,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2004,A,USD,
7195.101309,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2023,A,USD,
4973.862888,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2010,A,USD,
5725.528028,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2012,A,USD,
4309.135093,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2008,A,USD,
3918.528174,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2007,A,USD,
5688.853354,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2015,A,USD,
2089.751831,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2002,A,USD,
7346.620221,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,True,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2024,A,USD,
5801.197892,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2014,A,USD,
7605.696578,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2019,A,USD,
4135.43987,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2009,A,USD,
2867.703834,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2005,A,USD,
6985.643939,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2020,A,USD,
6909.352818,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,THA,_T,_T,_T,_Z,_Z,_Z,2022,A,USD,
