OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
52.8919,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2017,A,PT_POP,
56.8175,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2018,A,PT_POP,
85.2696,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2021,A,PT_POP,
5.55633,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2001,A,PT_POP,
3.68904,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2000,A,PT_POP,
9.29903,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2003,A,PT_POP,
47.505,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2016,A,PT_POP,
23.6699,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2011,A,PT_POP,
17.1607,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2006,A,PT_POP,
28.94,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,THA,_T,_T,_T,_Z,_Z,_Z,2013,A,PT_POP,
