OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
76.989,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2017,A,YR,
77.19,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2018,A,YR,
77.606,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2021,A,YR,
71.52,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2001,A,YR,
71.205,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2000,A,YR,
72.101,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2003,A,YR,
76.769,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2016,A,YR,
75.302,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2011,A,YR,
73.341,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2006,A,YR,
75.96,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2013,A,YR,
72.1,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2004,A,YR,
76.412,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,True,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2023,A,YR,
75.012,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2010,A,YR,
75.59,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2012,A,YR,
74.221,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2008,A,YR,
73.779,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2007,A,YR,
76.563,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2015,A,YR,
71.775,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2002,A,YR,
76.279,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2014,A,YR,
77.197,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2019,A,YR,
74.669,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2009,A,YR,
72.894,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2005,A,YR,
77.331,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2020,A,YR,
75.291,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,THA,_T,_T,_T,_Z,_Z,_Z,2022,A,YR,
