OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
71160187,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2017,A,PS,
71376079,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2018,A,PS,
71727332,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2021,A,PS,
63651141,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2001,A,PS,
63007815,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2000,A,PS,
64868166,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2003,A,PS,
70859841,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2016,A,PS,
69007208,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2011,A,PS,
66567687,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2006,A,PS,
69845114,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2013,A,PS,
65452047,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2004,A,PS,
71702435,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2023,A,PS,
68579447,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2010,A,PS,
69436098,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2012,A,PS,
67619830,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2008,A,PS,
67102394,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2007,A,PS,
70540795,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2015,A,PS,
64266437,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2002,A,PS,
71668011,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,True,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2024,A,PS,
70216367,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2014,A,PS,
71522271,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2019,A,PS,
68121080,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2009,A,PS,
66017420,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2005,A,PS,
71641484,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2020,A,PS,
71735329,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,THA,_T,_T,_T,_Z,_Z,_Z,2022,A,PS,
