OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
679423408,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2009,A,PS,
720497000,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2010,A,PS,
849403000,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2017,A,PS,
725530965,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2006,A,PS,
665327414,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2000,A,PS,
678110608,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2004,A,PS,
736699000,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2012,A,PS,
720547738,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2005,A,PS,
762710000,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2014,A,PS,
744302310,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2007,A,PS,
824039000,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2016,A,PS,
588997110,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2003,A,PS,
889024000,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2018,A,PS,
798222000,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2015,A,PS,
743171000,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2013,A,PS,
730796000,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2011,A,PS,
701779551,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2008,A,PS,
926737000,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2019,A,PS,
369501000,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2020,A,PS,
598410415,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2002,A,PS,
622187846,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2001,A,PS,
666153000,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2021,A,PS,
852828000,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2022,A,PS,
941557000,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,True,WB_WDI,WB_WDI_IS_AIR_PSGR,USA,_T,_T,_T,_Z,_Z,_Z,2023,A,PS,
