OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
47194.943355,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2009,A,USD,
48642.610018,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2010,A,USD,
56572.9189,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2015,A,USD,
46302.00088,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2006,A,USD,
36329.956073,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2000,A,USD,
41724.631629,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2004,A,USD,
59635.09844,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2017,A,USD,
51708.401156,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2012,A,USD,
44123.407068,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2005,A,USD,
54973.420752,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2014,A,USD,
48050.223777,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2007,A,USD,
57638.101837,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2016,A,USD,
39490.274956,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2003,A,USD,
62499.874439,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2018,A,USD,
84534.040784,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,True,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2024,A,USD,
53179.012763,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2013,A,USD,
50024.868799,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2011,A,USD,
48570.04598,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2008,A,USD,
64746.450678,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2019,A,USD,
63515.949181,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2020,A,USD,
37997.759657,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2002,A,USD,
37133.623113,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2001,A,USD,
70205.050916,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2021,A,USD,
76657.248884,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2022,A,USD,
81032.262118,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,USA,_T,_T,_T,_Z,_Z,_Z,2023,A,USD,
