OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
71,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2009,A,PT_POP,
71.69,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2010,A,PT_POP,
74.5542,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2015,A,PT_POP,
68.9312,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2006,A,PT_POP,
43.0792,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2000,A,PT_POP,
64.7583,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2004,A,PT_POP,
87.2749,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2017,A,PT_POP,
74.7,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2012,A,PT_POP,
67.9681,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2005,A,PT_POP,
73,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2014,A,PT_POP,
75,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2007,A,PT_POP,
85.5444,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2016,A,PT_POP,
61.6971,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2003,A,PT_POP,
88.4989,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2018,A,PT_POP,
71.4,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2013,A,PT_POP,
69.7295,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2011,A,PT_POP,
74,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2008,A,PT_POP,
89.4303,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2019,A,PT_POP,
90.3447,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2020,A,PT_POP,
58.7854,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2002,A,PT_POP,
49.0808,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2001,A,PT_POP,
91.2684,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2021,A,PT_POP,
92.2016,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2022,A,PT_POP,
93.1444,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,True,WB_WDI,WB_WDI_IT_NET_USER_ZS,USA,_T,_T,_T,_Z,_Z,_Z,2023,A,PT_POP,
