OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
78.390244,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,USA,_T,_T,_T,_Z,_Z,_Z,2009,A,YR,
78.541463,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,USA,_T,_T,_T,_Z,_Z,_Z,2010,A,YR,
78.690244,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,USA,_T,_T,_T,_Z,_Z,_Z,2015,A,YR,
77.687805,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,USA,_T,_T,_T,_Z,_Z,_Z,2006,A,YR,
76.636585,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,USA,_T,_T,_T,_Z,_Z,_Z,2000,A,YR,
77.487805,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,USA,_T,_T,_T,_Z,_Z,_Z,2004,A,YR,
78.539024,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,USA,_T,_T,_T,_Z,_Z,_Z,2017,A,YR,
78.741463,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,USA,_T,_T,_T,_Z,_Z,_Z,2012,A,YR,
77.487805,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,USA,_T,_T,_T,_Z,_Z,_Z,2005,A,YR,
78.841463,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,USA,_T,_T,_T,_Z,_Z,_Z,2014,A,YR,
77.987805,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,USA,_T,_T,_T,_Z,_Z,_Z,2007,A,YR,
78.539024,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,USA,_T,_T,_T,_Z,_Z,_Z,2016,A,YR,
77.036585,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,USA,_T,_T,_T,_Z,_Z,_Z,2003,A,YR,
78.639024,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,USA,_T,_T,_T,_Z,_Z,_Z,2018,A,YR,
78.741463,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,USA,_T,_T,_T,_Z,_Z,_Z,2013,A,YR,
78.641463,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,USA,_T,_T,_T,_Z,_Z,_Z,2011,A,YR,
78.039024,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,USA,_T,_T,_T,_Z,_Z,_Z,2008,A,YR,
78.787805,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,USA,_T,_T,_T,_Z,_Z,_Z,2019,A,YR,
76.980488,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,USA,_T,_T,_T,_Z,_Z,_Z,2020,A,YR,
76.936585,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,USA,_T,_T,_T,_Z,_Z,_Z,2002,A,YR,
76.836585,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,USA,_T,_T,_T,_Z,_Z,_Z,2001,A,YR,
76.329268,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,USA,_T,_T,_T,_Z,_Z,_Z,2021,A,YR,
77.434146,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,USA,_T,_T,_T,_Z,_Z,_Z,2022,A,YR,
