OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
306771529,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2009,A,PS,
309378227,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2010,A,PS,
321815121,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2015,A,PS,
298379912,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2006,A,PS,
282162411,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2000,A,PS,
292805298,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2004,A,PS,
326608609,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2017,A,PS,
314339099,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2012,A,PS,
295516599,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2005,A,PS,
319257560,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2014,A,PS,
301231207,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2007,A,PS,
324353340,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2016,A,PS,
290107933,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2003,A,PS,
328529577,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2018,A,PS,
340110988,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,True,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2024,A,PS,
316726282,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2013,A,PS,
311839461,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2011,A,PS,
304093966,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2008,A,PS,
330226227,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2019,A,PS,
331577720,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2020,A,PS,
287625193,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2002,A,PS,
284968955,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2001,A,PS,
332099760,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2021,A,PS,
334017321,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2022,A,PS,
336806231,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,USA,_T,_T,_T,_Z,_Z,_Z,2023,A,PS,
