OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
16544477.83017,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2011,A,PS,
47049671,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2018,A,PS,
11073604,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2009,A,PS,
14377619,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2010,A,PS,
29944771,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2015,A,PS,
5049706,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2004,A,PS,
23826013.272,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2014,A,PS,
42592762,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2017,A,PS,
14754847,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2021,A,PS,
16976051.381216,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2012,A,PS,
48674423,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2022,A,PS,
5453683,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2005,A,PS,
55114832,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,True,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2023,A,PS,
5283831,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2006,A,PS,
20429309.908,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2013,A,PS,
9991145,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2008,A,PS,
2877894,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2000,A,PS,
7194443,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2007,A,PS,
37349272,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2016,A,PS,
3969320,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2003,A,PS,
53227026,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2019,A,PS,
31771202,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2020,A,PS,
4038133,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2002,A,PS,
3427176,P1Y,0,,A,PU,_Z,2,"Air transport, passengers carried",WB_WDI,False,WB_WDI,WB_WDI_IS_AIR_PSGR,VNM,_T,_T,_T,_Z,_Z,_Z,2001,A,PS,
