OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
3.78023,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2011,A,PT_GDP,
3.29537,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2018,A,PT_GDP,
4.8165,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2009,A,PT_GDP,
4.04594,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2010,A,PT_GDP,
3.416604,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2015,A,PT_GDP,
3.540123,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2014,A,PT_GDP,
3.418657,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2017,A,PT_GDP,
2.945175,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2021,A,PT_GDP,
4.40817,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2012,A,PT_GDP,
2.887387,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,True,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2022,A,PT_GDP,
4.52834,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2013,A,PT_GDP,
4.88674,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2008,A,PT_GDP,
3.46907,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2016,A,PT_GDP,
3.084998,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2019,A,PT_GDP,
3.216529,P1Y,0,,A,PU,_Z,2,"Government expenditure on education, total (% of GDP)",WB_WDI,False,WB_WDI,WB_WDI_SE_XPD_TOTL_GD_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2020,A,PT_GDP,
