OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
1950.925042,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2011,A,USD,
3222.310031,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2018,A,USD,
1226.169761,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2009,A,USD,
1683.161824,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2010,A,USD,
2577.568853,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2015,A,USD,
565.452285,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2004,A,USD,
2546.384645,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2014,A,USD,
2956.109921,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2017,A,USD,
3704.193559,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2021,A,USD,
2185.117677,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2012,A,USD,
4147.697772,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2022,A,USD,
710.74676,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2005,A,USD,
4323.35032,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2023,A,USD,
807.756645,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2006,A,USD,
2359.517365,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2013,A,USD,
1163.831958,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2008,A,USD,
404.029784,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2000,A,USD,
925.640338,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2007,A,USD,
2735.060438,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2016,A,USD,
497.117089,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2003,A,USD,
3440.900254,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2019,A,USD,
3534.039535,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2020,A,USD,
445.132862,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2002,A,USD,
419.205678,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2001,A,USD,
4717.290287,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,True,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,VNM,_T,_T,_T,_Z,_Z,_Z,2024,A,USD,
