OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
35.07,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2011,A,PT_POP,
69.8479,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2018,A,PT_POP,
26.55,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2009,A,PT_POP,
30.65,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2010,A,PT_POP,
45,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2015,A,PT_POP,
1.26565,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2001,A,PT_POP,
7.64241,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2004,A,PT_POP,
41,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2014,A,PT_POP,
58.14,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2017,A,PT_POP,
74.21,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2021,A,PT_POP,
36.8,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2012,A,PT_POP,
78.59,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2022,A,PT_POP,
12.7399,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2005,A,PT_POP,
78.08,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2023,A,PT_POP,
17.2546,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2006,A,PT_POP,
38.5,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2013,A,PT_POP,
23.92,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2008,A,PT_POP,
0.254248,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2000,A,PT_POP,
20.7554,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2007,A,PT_POP,
53,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2016,A,PT_POP,
3.78028,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2003,A,PT_POP,
68.6616,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2019,A,PT_POP,
70.3,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2020,A,PT_POP,
1.855,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2002,A,PT_POP,
84.15,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,True,WB_WDI,WB_WDI_IT_NET_USER_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2024,A,PT_POP,
