OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
73.713,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2011,A,YR,
74.1,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2018,A,YR,
73.525,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2009,A,YR,
73.611,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2010,A,YR,
73.955,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2015,A,YR,
72.984,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2001,A,YR,
73.062,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2004,A,YR,
73.886,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2014,A,YR,
74.026,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2017,A,YR,
74.145,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2021,A,YR,
73.762,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2012,A,YR,
74.502,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2022,A,YR,
73.198,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2005,A,YR,
74.588,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,True,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2023,A,YR,
73.293,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2006,A,YR,
73.821,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2013,A,YR,
73.455,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2008,A,YR,
72.746,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2000,A,YR,
73.385,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2007,A,YR,
73.984,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2016,A,YR,
73.236,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2003,A,YR,
74.211,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2019,A,YR,
75.383,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2020,A,YR,
73.138,P1Y,0,,A,PU,_Z,2,"Life expectancy at birth, total (years)",WB_WDI,False,WB_WDI,WB_WDI_SP_DYN_LE00_IN,VNM,_T,_T,_T,_Z,_Z,_Z,2002,A,YR,
