OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
88468314,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2011,A,PS,
96237319,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2018,A,PS,
87455152,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2010,A,PS,
92823254,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2015,A,PS,
77969361,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2001,A,PS,
80338971,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2004,A,PS,
86460018,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2009,A,PS,
91679578,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2014,A,PS,
95176977,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2017,A,PS,
98935098,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2021,A,PS,
89510356,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2012,A,PS,
99680655,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2022,A,PS,
81088313,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2005,A,PS,
100352192,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2023,A,PS,
82167897,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2006,A,PS,
90573104,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2013,A,PS,
85175788,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2008,A,PS,
77154011,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2000,A,PS,
83633375,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2007,A,PS,
94000117,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2016,A,PS,
79563777,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2003,A,PS,
97173776,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2019,A,PS,
98079191,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2020,A,PS,
78772224,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,False,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2002,A,PS,
100987686,P1Y,0,,A,PU,_Z,2,"Population, total",WB_WDI,True,WB_WDI,WB_WDI_SP_POP_TOTL,VNM,_T,_T,_T,_Z,_Z,_Z,2024,A,PS,
